DTQDWIRQRGMGZERGDJI;ZDYDQDOHXNDDQDDDQDD
ZGYGNUDGVMJ;JGKQYUSIFAGYU
ZYYJECPRJRNBFZP;VMEVLUBQYHZABCISEBZB
OBABBHTFBYJPQVTTZVAP;OMFKYYPRYMNMVYKOFYPVYPVYVY
EFIDGKFWYUCNXPLFEX;AGVYXPWAKQPEGYXPEPE
EDIKVJQJZWO;FAYUSHPNTVZEXSWPKUZBWQVZWWZW
MXSKKXDDGWGO;OBXHWYPVUTXW
GDXIRAUMCNSXCHNTWPFML;WWMXSIEABMWMMWMM
JLUVHXMLGKTQXMXXZLP;VESMTLSFPIFNIMAVKVMTLPMKVK
the quick brown fox;the fast brown dogsthe  brown oo o brown oo ot brown oo o
DYQQSDAPQQWXZBJXX;FOZYXIOARRIFWMIHSYAW
AEDILJOODYFBAOJCI;WVTDPXAWTKELSPQOWRKEAELOE
KFHNTMCGIL;JCJWSXLLWLXUOEQRMMZTJYCLLL
PFWMHKQEIOXNAPFLAKRZR;NRFLJSKJRTOQSMOIHMGBNFLKR
GTBIAWKYLFDI;SZCBAVRNXCCWBAW
SXEPVGASMNSYRA;ZXIOTZAGALVZTMUVDWOXAMAM
VDQVWVDUGRENEMIYF;RLZXGIKPYVQREXURIYRE
hello world mordor;lord of the ringslo o r r  r ro  r r
MUZGUCGDZNPHW;PWUBQSYYZNVQVUZN
thisisatest;testing123testingtstesttesttsititesttitestti
